zoneNum,lNodeID,P_load1,P_load2,P_load3,P_load4
1,2,"[-19.666702161905338, -9.623813994373418, -16.18111237072485, -11.11220196879453, -5.508525230030758, -7.251088339487639, -9.273015014957101, -18.82577424555429, -2.1511994421062104, -2.718736746906642, -15.020927966587838, -2.9631670104828247, -0.6964978117546151, -7.606844325656538, -20.18821256749177, -20.819709107135235, -16.797789750631832, -3.983137615758604, -6.445395507910761, -3.2583623390060095, -19.389751741675234, -7.7006281493677395, -2.8600229197804596, -20.422588044493146]","[-9.973115583758354, -4.622308725881027, -8.100461537805558, -8.888329152770313, -10.352627997891316, -9.177961643509002, -6.36622340102163, -1.3216671214899898, -8.566000837537418, -6.7189579960303725, -5.182451650724266, -8.725498702664286, -1.340388591677215, -8.02921981694155, -7.65735844474216, -10.762774460005023, -8.720113934057437, -3.2362545301792656, -5.345338128097385, -1.9514035187111995, -6.940912139081322, -2.4704103239484425, -2.9057325026111975, -9.0161286456496]","[-10.98879384949894, -0.542129221958433, -8.601167178592107, -11.452072657722967, -11.118425185477102, -12.339758079763666, -9.306380293354872, -8.772684092346731, -9.429610275996644, -15.83808454057957, -14.975960531431227, -1.0906052931838854, -1.2726343974952226, -1.1558845647484752, -8.87242149158208, -6.58542673380677, -14.50900443927505, -8.226380063783806, -7.941411388152517, -11.321214196654163, -12.437998072118388, -4.541510352919068, -14.009520664330934, -13.563138468125027]","[-1.4419479932039407, -3.6115456795675023, -4.532911773314407, -1.8332494837000166, -3.2252374583123458, -4.285160000769021, -1.3122091138579335, -2.4779474731361915, -0.8199688736771426, -1.9762614432737082, -3.315132233803149, -2.313867815197119, -1.0700176091753943, -3.65304664438131, -4.256833986229388, -4.589459122104996, -3.1536181628051403, -3.5032347628163234, -0.9183636737880081, -4.5048698999669075, -0.0083173023866788, -4.871624469488526, -2.888693536167827, -2.264330902549337]"
1,3,"[-14.496307533448709, -47.9089041947837, -81.26109175485395, -19.189879207063612, -46.42338239545607, -25.30922336090224, -50.916461794211216, -82.19658718861803, -3.848846550070455, -17.851408419443537, -5.340019710843148, -20.344690181997226, -5.846510582557131, -68.9336198467033, -6.617852565060516, -86.3517791236524, -83.0480913021434, -83.24843323802254, -67.17779592079553, -87.23822187139572, -91.68788178274467, -75.01855262125201, -44.81333988663772, -64.79936620378814]","[-11.209869611080505, -33.36599094479239, -22.1548012511646, -14.141381855580969, -44.72842853537779, -22.422703472079625, -16.05022839639666, -25.258474823497263, -11.849596499491652, -18.28522822943736, -39.6298565544331, -1.1598416124646784, -6.2511027338876675, -30.810740335596876, -10.173055687976586, -24.57532702767278, -35.563268938588735, -41.56421300142561, -27.37118103233331, -18.284174243369584, -43.85091044730863, -17.33080883377107, -43.236362176575554, -31.194092616849357]","[-59.55502437322388, -68.46118978011886, -40.18354341789689, -30.143784775218652, -41.863648120385626, -28.02526405614381, -35.87494277707088, -25.36442301885758, -47.45321159057008, -36.740407867448, -56.751128490438084, -7.2146226174197015, -13.841995295246118, -26.053857431012602, -23.352841644776294, -35.40300223357565, -8.905940203255463, -14.550317875084188, -17.328438508167583, -17.404949738437836, -29.227955827938857, -31.171170290930785, -45.4320908341992, -15.300492225126666]","[-22.43123729339272, -9.96163333231576, -15.813284759378758, -21.10993108141774, -11.896745718490711, -0.03994933538003408, -2.502563572585679, -17.409431075094677, -15.422935663302212, -20.551479298248697, -20.39132473733436, -22.971290001108034, -5.621406081230984, -11.133395610750172, -13.25347795296691, -20.838072237122198, -8.792809463317369, -7.928428851758391, -22.547767301863384, -4.720501485351581, -14.708473183598679, -15.314320423839836, -16.863642397731407, -13.132851917266334]"
1,4,"[-25.55653116480063, -24.940224425533767, -40.82566292692485, -45.74138791984754, -9.686865011164981, -26.841685888945722, -40.490012064135804, -20.68031897330435, -44.697606576572475, -28.819729958673012, -14.70046273544218, -28.745973716197582, -3.1234753873011267, -10.141428246952186, -17.368948599917434, -19.818354624958037, -35.49405555434426, -31.166992325925033, -26.53999231665088, -44.04260348936092, -11.552884376103338, -6.275022904908707, -0.4251882405142486, -10.449632731741687]","[-17.033791855544333, -8.209475186389, -12.301653771555214, -1.096685942142667, -2.556947937371012, -3.891510237395387, -19.782099643920976, -18.001052603795156, -12.635195442209932, -12.992427033474039, -11.218380294289505, -14.62586053165412, -12.080127754642652, -18.376401991017353, -18.223363649950763, -23.812077913044863, -11.315757364760511, -17.217263763213342, -5.069073591698867, -8.178316482052033, -18.27528912967248, -13.66394902926656, -0.08093361592920596, -11.669316775850517]","[-1.6604855717946483, -9.242925306598895, -25.31966857343411, -11.813105858180844, -5.4766153497074175, -5.15178941136836, -16.5317780622725, -14.971032959154172, -22.228986922570982, -16.692867580294397, -34.62503321740391, -7.872035790835346, -15.836214226425883, -7.188280558750164, -23.243637758252177, -17.334533604125937, -23.81155910006364, -4.916154009795241, -17.948017666179, -31.76054476319045, -2.454644001154098, -25.607164162880768, -29.897291405496144, -7.96588687606919]","[-1.1862569426287648, -2.466555077029005, -11.282236660470852, -10.963606210713635, -10.954583637327572, -5.8336285608691805, -4.061662802219651, -7.9052365250366075, -9.068441346557519, -0.7670515980238931, -11.596982588658207, -5.314257448483666, -0.230529114088039, -1.9425104970676688, -9.49024413560901, -2.8472232139217217, -4.28556883360185, -9.899318372928784, -8.130206764981967, -8.1286853313653, -3.9527847715202853, -1.4335264404280075, -4.199385427466816, -0.32582199764920156]"
1,5,"[-5.567562631828191, -2.9277334387978833, -6.071899756474445, -6.30187814273883, -7.388727206370537, -0.46361431741352, -7.449943408298891, -1.7144274624807783, -6.667439060250622, -6.7928233896644965, -2.561245555461407, -1.913419311921311, -1.1115688684178426, -3.2980578417173674, -2.215984909848176, -6.291674427688372, -5.571057821534849, -0.5517713575804721, -4.247184365538863, -6.523319809878582, -6.616073800019347, -2.4982356865897692, -0.9714942077499217, -0.22878272459557256]","[-0.46708877056430254, -0.1641884341207526, -0.9886929336361989, -3.374503177746374, -3.4460830663052358, -3.4850183315095227, -2.0429607334930218, -0.8396154974564025, -0.503574237707612, -3.1612873657327847, -3.4800151084515902, -3.628772806801523, -1.9727182596650459, -0.29143426392755706, -3.335500782734592, -3.35219984229485, -1.519078522391424, -2.5313071461407093, -2.0954866226190414, -2.62977980232308, -0.05833212482515066, -0.2632402517659809, -0.8559411443675866, -0.05759873654995309]","[-4.698428531212117, -3.8240929982579193, -5.391344378476024, -0.5263819978791665, -2.961245398439871, -2.4559788905278412, -4.911626534419337, -0.15815484144483047, -3.058682722779057, -2.462802740455325, -3.7459583944466024, -2.4147670745435366, -3.8468149781617638, -1.9456469599967572, -1.5640167072061604, -4.721711607634846, -5.0651513277212965, -4.320004811357942, -4.690667020430778, -5.4683466582004625, -1.0155459073531405, -1.6243566450198195, -3.7488083834396173, -0.9530250134820805]","[-1.1504944638738541, -1.6303449996891213, -0.42552514582043055, -1.0159538683265108, -1.0260918595832869, -1.0619572553427734, -1.5917688360227138, -0.9438054232473492, -0.239207547948969, -1.8861970981220435, -0.26263930453873763, -1.5828033251079618, -0.04155119272820157, -1.0609165818763695, -1.3651126117353836, -1.0064100788190224, -1.2933163985140441, -1.3336716881502007, -1.8120002021892252, -0.29229794572317724, -1.5033097846016552, -1.205573077296556, -0.7448387257623386, -0.4042016339745037]"
1,6,"[-2.8562989074181564, -6.690898433313433, -8.173754368312649, -4.463276109897284, -9.732628160355366, -5.84659561945744, -8.599897562158999, -5.600380370494231, -10.744389502538931, -7.235610138124449, -7.774822869687009, -9.319401666062877, -9.225402544333894, -2.078867409732885, -9.110500198681281, -6.962829555786765, -10.809707330425427, -3.2926820711206854, -3.032287787126478, -6.244401279614712, -1.7640531917652496, -6.274524884516307, -6.061124398213641, -4.9466663307373855]","[-1.2593737116118802, -2.351216919927677, -1.3361607341136248, -1.8348676689265675, -5.441415130605198, -0.7767608395031649, -4.320754744735379, -1.4760573607388674, -2.4730965145420614, -3.1958047654810247, -3.833156538702056, -3.1577034725073, -4.123632390267111, -1.965102332726001, -4.138758696617889, -1.3684541405953765, -5.366952239175513, -0.47678393571107447, -4.588589662653461, -4.159223366245037, -4.637874185232813, -5.354690364947614, -4.62355065699444, -2.183347175848409]","[-4.481530594064211, -0.7195076872524521, -3.776385785862232, -2.9964713693401253, -0.09625977674827695, -2.9759516462447584, -0.8033985196087208, -6.25064904498646, -6.7760771839423395, -1.0851139236879386, -8.052658175841716, -7.482165280365192, -6.596753685416771, -3.257875775884782, -7.577395376878923, -1.5526332761639186, -4.609775946568392, -4.238997837166938, -3.129145110080529, -5.537768542088093, -3.5302041253228937, -3.120814782856058, -2.5914756552362457, -1.6144207010428]","[-0.601743936868408, -2.037269079835178, -0.8590560558884694, -1.610567359517209, -0.3493635592565142, -2.2350445988091323, -0.16766138912591527, -0.6620821683768902, -2.0353219236015803, -1.5259410551657169, -1.2488915605341457, -2.358533179217004, -0.8395124181024544, -2.5588532383783544, -2.22314034336072, -2.4425124031153445, -2.771520215369356, -2.5180814855824245, -0.09787885379710759, -1.3416789769426445, -1.6930249562338908, -1.1114954973061364, -1.9786039435348777, -0.5195346702548446]"
1,9,"[-2.073810746863505, -23.701670560759638, -13.618110488913953, -8.270311979078539, -11.988717352061805, -9.870924552192792, -13.26148864860543, -10.164023694644754, -22.002758286725644, -2.186056776343919, -22.392978648931834, -9.125940156395426, -29.143671974338968, -9.902620699066919, -12.705185238221263, -17.04873670335727, -16.87031272771562, -2.2663503213246123, -17.410585724976638, -28.550128000753826, -9.756032518034557, -6.325744287417764, -5.53588416740089, -20.188264195615076]","[-11.240836101264648, -1.9957850588125767, -1.5602235297424207, -3.7722428612063834, -10.259692863458875, -13.910409792109972, -1.4559656525364777, -3.379133326473495, -7.806767112899897, -12.674960332234606, -12.304249662983851, -8.377151629685953, -3.593925979842061, -4.241324221115534, -5.954589142727508, -4.7324530110903655, -5.563269696170015, -13.430684212366023, -8.352337730542212, -12.125790508295982, -1.551616923671727, -1.2869866493752684, -5.0507638968974105, -10.193143832291069]","[-18.057697279091187, -7.460408131719013, -16.117280305519618, -3.586603243319165, -2.305981849714567, -9.898725501874505, -7.877830737412474, -17.527710209444745, -9.386068498657803, -1.8167115288914326, -11.696663645833262, -1.4465296003550976, -21.301655239452103, -4.239985563297495, -16.902083769114352, -11.642683742722326, -1.995730082103467, -20.886185964171677, -10.63824389265175, -0.11516172865114352, -15.219060298628078, -10.072671099815828, -2.101733922274935, -13.013072603811878]","[-5.767849038730873, -6.168501999502233, -3.1658473196026726, -0.9372319622599496, -4.998357119897603, -6.068026136919948, -2.8149759864902233, -7.316094958891674, -2.7108717793393393, -0.8446717760282301, -2.6108435548247466, -6.451171992456188, -5.545828535618423, -5.944294095753623, -2.773797070178591, -0.6959006050582652, -1.8810182724085511, -2.0203451803599446, -1.4556186898909313, -7.334631060130454, -5.052860812429886, -2.7457128162252524, -0.3809075068438642, -1.8627023460266785]"
1,10,"[-4.18914173647232, -8.019150364700845, -5.931431718774814, -7.1729877703984375, -2.4962435806918006, -3.9987457375812374, -1.6626442757961222, -6.950489257165328, -8.61313738454568, -3.662901425441749, -7.8546823488026964, -4.773643467797699, -2.0345738915329434, -6.884050617645172, -7.764565572024147, -6.732366838096855, -2.324766134466417, -3.806172655743624, -6.49012120616514, -7.255495949188885, -4.464519507144518, -8.760211581410413, -8.32830638806666, -3.759026071594139]","[-1.1203171197582527, -3.538818688865629, -1.8576728466669499, -1.4498334485682842, -1.2954175362848115, -3.026267511043332, -3.211742136083143, -4.075272497827535, -4.355580454668757, -4.23629563241888, -1.0077184704139268, -0.2974521823676503, -0.8064559562987161, -0.022454350571700588, -1.3849290028632621, -2.9319232309074756, -1.5322935507501074, -2.825749861400073, -3.7671994074295383, -3.6529738964165714, -2.2237288447723746, -3.4193268519887385, -0.6843071382913266, -2.9280388294280018]","[-2.68902710919227, -1.0611186999183653, -5.662067912116295, -5.325540569060679, -1.249405820507957, -4.352039071363812, -5.503738582106092, -5.811311295104818, -6.525025232278542, -6.123427170635242, -0.05460634534792183, -1.5200932445290691, -6.23180082144543, -5.671917323928071, -3.3264294723683614, -6.078619368419794, -0.8261317315079303, -3.9069235490286345, -0.4963396471326371, -4.250330024282514, -0.32533722216202143, -0.11389703366560791, -3.691379352122297, -1.6235637644255079]","[-1.9540290672484788, -2.162095026168036, -0.8050576448571911, -1.7109476925533798, -0.17238992087510338, -0.8312351243284033, -2.1919342831490756, -0.5189539456676718, -1.9030847131594029, -1.3163490005969287, -0.6001176230299419, -0.42798955956049045, -1.014747763917784, -1.455831878624741, -1.4310583907963448, -1.5474917054199144, -0.822311025149383, -1.7263076578081205, -1.5131149326592737, -2.0311411066057516, -0.4197074902998059, -0.595543865538685, -1.2353696479072134, -1.3853069930945308]"
1,11,"[-0.9186521026785106, -1.6527370255273879, -0.44966676714387793, -0.17626011829490995, -0.7201879559775509, -3.2204637338289075, -1.3979926654293724, -1.8427844556098396, -1.7517899879067045, -2.3503615952835175, -3.0423068568322718, -2.3744168537964545, -1.172363945264801, -0.6516958158114463, -2.906047247955452, -3.257582380602751, -0.48947145590591323, -3.2208176694467223, -1.347632246995924, -1.6356087832109614, -1.0425742112195242, -1.068966690948597, -1.7699028308319464, -3.2511224631171687]","[-0.09739987002138739, -1.2013354136299992, -1.4334930095786003, -1.3086423970680272, -0.9029269987274098, -1.180056364097988, -1.5884012759929944, -0.5397887818276985, -1.4648141474403205, -1.5962456153257982, -1.1707297944966495, -0.23048431935345393, -1.2320678814404873, -0.037993589159825286, -1.2909718940161996, -1.3525034650322352, -1.4859824038806375, -0.5821201124214085, -1.0503323802579008, -0.6079412630355541, -1.2844583203975648, -1.088429090779047, -0.18109873897924245, -0.8429179107752041]","[-0.6567158159403292, -0.06457250309067492, -1.504009227083101, -1.1553423622548784, -2.5060353637234773, -2.5916833502227288, -1.4455275224152135, -1.3774631487750313, -1.5383826536721994, -0.9936013517754412, -1.648589518122307, -0.051064441520886725, -0.6758044052851837, -1.9467688950602726, -2.473007210687618, -2.2397642234254507, -1.767600664355775, -1.4362443717222662, -2.1958683599700817, -1.9463156083737576, -0.9084487386106619, -0.6699778556482141, -2.29073977600798, -1.3939271012893355]","[-0.00558092561563879, -0.2509729758444489, -0.6827106050345355, -0.47921350774930405, -0.5838774333778798, -0.052033718340746424, -0.10527343919465686, -0.3953806237972134, -0.3004140282970018, -0.6248861600249035, -0.029907222189742122, -0.8453114332602585, -0.6186472640802763, -0.3130852723587526, -0.12930911516601612, -0.7029841700640468, -0.08399553398040915, -0.47129240468817624, -0.6550442928931735, -0.6257530182194803, -0.05667046528405549, -0.3229568964743797, -0.09343853132829748, -0.8371051163599972]"
1,12,"[-4.558449578835306, -5.720469636815285, -2.637344955328961, -3.6254793989431398, -4.349845103854368, -1.9878244675424508, -0.9702576623549848, -5.265906867042956, -4.003607105741557, -3.4531099428090894, -0.7998891184304369, -1.4085943733001647, -1.4983501323129975, -0.2466006911774408, -1.6637938072264764, -2.731065547284709, -3.272717570024362, -0.5081409689977829, -4.262517442269192, -2.9185321848761845, -2.105507499683016, -1.3503711436008003, -3.954732205066364, -6.024911699753244]","[-0.23671239135431216, -0.6865118229435929, -0.12451141010782384, -2.460727720804698, -2.7727296166612687, -0.2728679004471774, -1.360716816504197, -1.4572420338372236, -0.07845741356052607, -0.6793179124309466, -1.2392641710208752, -0.8555676023476071, -1.200994346514435, -0.3987999386845371, -0.6326583891701575, -1.8036608327949677, -2.9559257322392245, -2.811782056487476, -1.0904446988995997, -2.65174617658077, -2.520736644123069, -0.9912889392799298, -2.0539086804743993, -1.9196833417487116]","[-3.4302418764811615, -0.5056744576081689, -2.5174100282015566, -1.6430592195148894, -0.2120676184328075, -1.765320525049138, -3.3199448175100383, -2.0136802332883867, -3.7157909275427627, -0.9337184360415781, -0.37302625649648463, -3.5981860076621945, -3.5081754992584218, -0.37135232999437884, -2.0263127803252323, -0.1754782444985141, -1.1132092529065623, -3.2864317011256183, -2.5448626708300135, -0.5681442857355427, -1.2486325432840548, -0.773063175891511, -2.147096533876061, -2.929400221185746]","[-0.8768286658617906, -0.4467244592692406, -1.4439239088645426, -0.30613752657162435, -0.11442259873251809, -0.2414708752340129, -0.18123311867172073, -0.20549921473112026, -0.33064413260185876, -0.4802988577344602, -0.5951679550822443, -0.1688602727185841, -1.066710094620446, -1.2438577110527036, -0.14817041151340918, -0.024566766339657917, -0.8081144557459139, -1.4872259632495137, -0.07651911982605, -1.3160350649858386, -0.19347318208752418, -0.008505651086072843, -0.49738661115099114, -0.43943003302877826]"
1,13,"[-12.03939088986804, -4.0987076600040036, -4.999575834779902, -11.929402178902787, -2.956291461684271, -7.771491679257167, -8.666061418943357, -7.961147096854447, -11.659058856362861, -1.012928274972514, -7.461440037849417, -4.746796920010125, -7.9659705197301, -4.341874373283453, -12.341171401643752, -9.908131055024256, -8.10303113301498, -3.8929336243620862, -1.8989087163146992, -10.238137558739195, -10.793663502183023, -5.53476347522491, -0.2938690579588107, -2.1366158666279045]","[-5.450773703181578, -6.485092099349311, -0.6514333325491769, -6.002058709361481, -4.627819577335142, -0.6666611117028842, -1.2905217781209644, -0.8273532778367143, -4.619047333856737, -1.5143712516557506, -5.178170479326294, -4.956321997581952, -0.8300896414045204, -2.40318836822961, -1.9930400452765804, -4.461149642981441, -0.7458039426350638, -1.6575588506157977, -6.339605672132798, -1.622367446809419, -2.635978902936484, -4.819704715625454, -4.939329488224579, -3.716230972261751]","[-4.935817123600146, -2.7077596137497912, -6.067312647068497, -1.9459468315392814, -6.148821379527938, -9.334829285421547, -4.551092643064168, -5.883947878476218, -7.714203668126726, -2.039589652148557, -3.9937847707396052, -8.38962006078634, -5.254244933493299, -3.4058038661692978, -9.75703091439752, -1.3043776814185446, -4.662892307200599, -3.6950717408400076, -9.877049695664466, -1.6514218897482593, -7.65388650541045, -3.63913909111732, -3.453973574814413, -6.44431704101391]","[-1.9702025056774966, -3.1181909023044834, -1.8751715097119663, -0.3468397473491218, -0.7505031011256701, -1.8567500505002414, -0.3139004390229583, -1.6521472667681447, -0.14998448954307014, -2.4882319917893945, -1.5131462804464468, -1.4405861499726713, -0.4749051574804298, -0.40247699725404934, -2.178749154470566, -1.716792736109974, -1.0025774516755281, -0.21466018288384459, -2.837205304209845, -1.480911769687606, -2.6876187997374372, -0.14427825079805956, -1.491581472396448, -1.895865868009757]"
