zoneNum,tNodeID1,tNodeID2,reacT,ptMax,lifeTime,interestRate,costPerCap,preAbsence
3,1,2,0.18,100,50,0.05,4,0
3,5,2,0.18,100,57,0.045,4.5,0
1,5,4,0.19797,100,50,0.05,2.8,0
1,4,12,0.17632,100,57,0.045,7,0
1,3,2,0.17388,100,50,0.05,4.6,0
1,2,1,0.17103,100,57,0.045,4.4,0
1,1,4,0.04211,100,29,0.03,8.5,0
1,7,14,0.20912,100,35,0.1,63,0
1,1,6,0.55618,100,50,0.05,28,0
1,2,12,0.25202,100,57,0.045,75,0
1,13,8,0.1989,100,50,0.05,43,0
1,14,1,0.25581,100,57,0.045,49,0
2,23,4,0.0749,100,50,0.05,28,0
2,2,15,0.1499,101,57,0.045,77,0
2,1,2,0.14,102,50,0.05,54,0
2,5,2,0.2559,103,57,0.045,24,0
2,10,4,0.1304,104,29,0.03,85,0
2,19,14,0.1987,105,35,0.1,63,0
2,25,14,0.1997,106,50,0.05,28,0
2,22,15,0.2185,107,57,0.045,87,0
2,13,12,0.202,108,50,0.05,4.4,0
2,25,2,0.1923,109,57,0.045,5.4,0
2,20,17,0.1292,110,29,0.03,8.5,0
2,29,16,0.068,111,35,0.1,6.3,0
2,1,4,0.179,113,29,0.03,8.5,0
2,19,20,0.27,114,35,0.1,6.3,0
2,2,4,0.3292,115,50,0.05,2.8,0
2,20,11,0.38,116,57,0.045,6.6,0
2,3,12,0.2087,117,50,0.05,6.4,0
2,20,8,0.4153,119,29,0.03,85,0
