Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,Demand_MW_z28,Demand_MW_z29,Demand_MW_z30,Demand_MW_z31,Demand_MW_z32,Demand_MW_z33,Demand_MW_z34,Demand_MW_z35,Demand_MW_z36,Demand_MW_z37,Demand_MW_z38,Demand_MW_z39,Demand_MW_z40,Demand_MW_z41,Demand_MW_z42,Demand_MW_z43,Demand_MW_z44,Demand_MW_z45,Demand_MW_z46,Demand_MW_z47,Demand_MW_z48,Demand_MW_z49
2000000,1,1,1,2000,1,24,24,1,0,1.441947993,22.43123729,1.186256943,1.150494464,0.601743937,0,0,5.767849039,1.954029067,0.005580926,0.876828666,1.970202506,3.106640088,0,4.222205675,0.229380239,0.32512498,0,0,2.805679917,1.220855341,0,0.061748692,0,1.397334915,0,1.325376962,0.168762574,0.137244883,1.526433655,0.383662859,2.330309289,0.501252607,3.706167062,0,0.358126083,0.108543238,0,0.176124981,0,0,0.03594539,1.443910503,0,0.068944925,1.609187297,3.259024037,9.059678346
,2,0.9,0.04,1800,,,,2,0,3.61154568,9.961633332,2.466555077,1.630345,2.03726908,0,0,6.168502,2.162095026,0.250972976,0.446724459,3.118190902,0.967083562,0,1.158415473,0.13146439,1.678928376,0,0,1.683386828,0.912781515,0,0.642969698,0,0.063931881,0,0.775355523,1.787481662,0.038657964,2.23970815,0.770084229,0.005441124,0.172822772,2.906849827,0,0.409650936,0.673326084,0,0.587156197,0,0,0.40183126,0.445301204,0,0.425158197,2.476747312,6.014062984,9.421177171
,3,0.55,0.024,1100,,,,3,0,4.532911773,15.81328476,11.28223666,0.425525146,0.859056056,0,0,3.16584732,0.805057645,0.682710605,1.443923909,1.87517151,2.976579613,0,1.418244666,0.327439396,0.778268701,0,0,4.968039067,1.63227241,0,1.266429835,0,1.278963691,0,1.327901512,0.562959913,0.838472309,0.035299532,0.649946629,1.059451622,0.064890601,2.054358767,0,0.218429621,0.330421157,0,0.748311449,0,0,0.519409891,1.952471363,0,2.91388562,8.480266665,6.296193528,7.527757332
,4,0.2,0.003,400,,,,4,0,1.833249484,21.10993108,10.96360621,1.015953868,1.61056736,0,0,0.937231962,1.710947693,0.479213508,0.306137527,0.346839747,1.072481318,0,4.703040632,0.315014633,1.103170804,0,0,3.33656729,1.414169511,0,0.573906494,0,2.798773758,0,0.214625115,1.289081001,0.754726228,1.122588329,0.634927072,0.870858962,0.287778546,3.030931723,0,0.565348404,1.078341404,0,0.656596296,0,0,0.097236675,0.568222603,0,0.917879941,3.128992203,7.886625222,6.631281671
,,,,,,,,5,0,3.225237458,11.89674572,10.95458364,1.02609186,0.349363559,0,0,4.99835712,0.172389921,0.583877433,0.114422599,0.750503101,2.552998966,0,1.478688703,0.399958058,1.839474804,0,0,2.881386854,7.122699379,0,0.850647287,0,2.40197446,0,0.170785415,1.7501843,0.531718944,1.80092959,0.69124684,0.844127413,0.019028909,0.565324815,0,0.434205346,0.436614519,0,0.445902173,0,0,0.404054033,2.261443325,0,0.588127969,8.270554789,7.579018616,11.87114437
,,,,,,,,6,0,4.285160001,0.039949335,5.833628561,1.061957255,2.235044599,0,0,6.068026137,0.831235124,0.052033718,0.241470875,1.856750051,1.873830382,0,3.453043711,0.377800898,1.526940311,0,0,4.468492054,6.919340758,0,1.345312046,0,0.212985633,0,0.98856254,1.897159064,0.200184966,0.341315588,0.190369899,1.50193726,0.184029988,1.734824877,0,0.100614687,2.08564933,0,0.26465137,0,0,0.463902758,2.209429529,0,1.377652506,5.030469593,0.794406798,14.06830189
,,,,,,,,7,0,1.312209114,2.502563573,4.061662802,1.591768836,0.167661389,0,0,2.814975986,2.191934283,0.105273439,0.181233119,0.313900439,3.704610923,0,0.119652511,0.346325326,0.412795805,0,0,4.819025107,1.417072133,0,0.848877372,0,0.107465116,0,1.315928175,1.036356155,0.687715906,0.074136972,0.307458853,0.4374567,0.443619994,2.941370847,0,0.574698861,0.668698104,0,0.117106654,0,0,0.212743064,1.234009843,0,2.407528641,6.629592412,7.490710329,11.89890587
,,,,,,,,8,0,2.477947473,17.40943108,7.905236525,0.943805423,0.662082168,0,0,7.316094959,0.518953946,0.395380624,0.205499215,1.652147267,1.079250333,0,3.152395762,0.371608789,1.320580356,0,0,4.252792954,1.043122217,0,0.619403288,0,0.044650743,0,1.200122726,0.426931808,0.746747723,0.964027728,0.222040055,0.502225437,0.067583021,3.846880662,0,0.581310095,1.105733259,0,0.274423168,0,0,0.36366346,2.123727958,0,4.812905394,3.56623545,4.330868882,11.48499985
,,,,,,,,9,0,0.819968874,15.42293566,9.068441347,0.239207548,2.035321924,0,0,2.710871779,1.903084713,0.300414028,0.330644133,0.14998449,3.600794553,0,4.050557965,0.209978024,1.072526443,0,0,1.93439759,2.777318079,0,0.529069149,0,0.311883363,0,0.085059649,0.733136135,0.444026931,2.082567589,0.042575582,1.03847365,0.032519024,2.622711686,0,0.70648687,1.022720691,0,0.080935049,0,0,0.13095904,2.580989935,0,4.43755816,9.900028085,6.438063639,14.30483378
,,,,,,,,10,0,1.976261443,20.5514793,0.767051598,1.886197098,1.525941055,0,0,0.844671776,1.316349001,0.62488616,0.480298858,2.488231992,2.647585856,0,3.539604328,0.566815917,1.588931788,0,0,2.81533949,4.073153768,0,1.246113925,0,2.399959656,0,1.377530478,0.578712918,0.370239561,0.255872318,0.463333702,0.401160301,0.301913779,2.30282783,0,0.474273388,0.001070393,0,0.518754511,0,0,0.019120457,0.52380184,0,1.112086845,8.590598393,7.623655331,0.407271881
,,,,,,,,11,0,3.315132234,20.39132474,11.59698259,0.262639305,1.248891561,0,0,2.610843555,0.600117623,0.029907222,0.595167955,1.51314628,1.271107104,0,2.002537033,0.256038975,1.819201781,0,0,2.084441538,3.923451448,0,1.234100432,0,2.00402051,0,0.445927832,0.72839215,0.218109244,1.020747587,0.621209726,0.018674491,0.542042944,0.069761476,0,0.516914074,1.81104156,0,0.378681565,0,0,0.327868717,2.383979563,0,2.79760942,6.463920744,4.88724738,7.522984199
,,,,,,,,12,0,2.313867815,22.97129,5.314257448,1.582803325,2.358533179,0,0,6.451171992,0.42798956,0.845311433,0.168860273,1.44058615,0.694942671,0,1.024160633,0.161775803,1.714149049,0,0,4.755479366,3.501157316,0,0.631236635,0,0.933269512,0,0.544727598,1.59339712,0.410597579,0.000561813,0.614827459,0.114249625,0.15217837,0.866415602,0,0.158982397,1.512242339,0,0.295792486,0,0,0.156539434,1.749068873,0,3.836773781,9.282247152,2.765641578,0.085743683
,,,,,,,,13,0,1.070017609,5.621406081,0.230529114,0.041551193,0.839512418,0,0,5.545828536,1.014747764,0.618647264,1.066710095,0.474905157,1.379349064,0,0.242949101,0.231634434,0.036249134,0,0,0.887044412,6.834051675,0,0.902961134,0,0.906922131,0,1.094748092,1.133851002,0.831554967,1.11833581,0.317380189,1.041657678,0.497053823,2.640879098,0,0.535956456,1.227404771,0,0.253036585,0,0,0.009147795,0.647925266,0,3.842286598,9.748555577,1.433783756,9.688311168
,,,,,,,,14,0,3.653046644,11.13339561,1.942510497,1.060916582,2.558853238,0,0,5.944294096,1.455831879,0.313085272,1.243857711,0.402476997,0.741487794,0,5.251055323,0.35079878,0.245029355,0,0,1.032124392,6.504853358,0,1.069541632,0,1.667150548,0,0.670558933,1.035696391,0.661710395,1.040784339,0.292456974,1.762269768,0.207225218,3.051214938,0,0.152848228,0.593987747,0,0.155809339,0,0,0.347988593,2.034575234,0,0.929512326,4.259963824,6.295488812,12.36376467
,,,,,,,,15,0,4.256833986,13.25347795,9.490244136,1.365112612,2.223140343,0,0,2.77379707,1.431058391,0.129309115,0.148170412,2.178749154,2.298844394,0,2.984954447,0.153664738,0.90925769,0,0,1.879758456,7.27338885,0,0.633637492,0,1.527043428,0,1.375998116,0.67284068,0.129513085,1.803216141,0.424189533,0.234429199,0.432135546,2.720656281,0,0.246615568,0.922241158,0,0.683370552,0,0,0.532680015,1.442566444,0,0.490007905,5.848764784,2.358155872,8.417066826
,,,,,,,,16,0,4.589459122,20.83807224,2.847223214,1.006410079,2.442512403,0,0,0.695900605,1.547491705,0.70298417,0.024566766,1.716792736,3.055794287,0,4.921465863,0.290516795,1.662633003,0,0,1.818630151,3.224118533,0,0.031934018,0,2.061143843,0,0.490528041,1.466663274,0.814295562,0.672502379,0.164166157,1.769662236,0.18522171,0.485990745,0,0.656519698,0.699603365,0,0.665374624,0,0,0.346947528,0.641292822,0,3.769771248,1.548030939,9.100414574,14.4583977
,,,,,,,,17,0,3.153618163,8.792809463,4.285568834,1.293316399,2.771520215,0,0,1.881018272,0.822311025,0.083995534,0.808114456,1.002577452,1.461048078,0,3.148201958,0.253939468,0.585896937,0,0,5.644675229,1.047982816,0,0.537759441,0,0.762272657,0,1.279952134,2.011441299,0.475492,0.337595637,0.427785538,1.140406607,0.054695239,2.450914121,0,0.633382828,1.183969999,0,0.604439787,0,0,0.504859799,1.954257428,0,1.396503459,2.666304219,1.232872481,11.34110105
