zoneNum,lNodeID,P_load1,P_load2,P_load3,P_load4
1,2,-21.7,-10.85,-16.275,-5.425
1,3,-94.2,-47.1,-70.65,-23.55
1,4,-47.8,-23.9,-35.85,-11.95
1,5,-7.6,-3.8,-5.7,-1.9
1,6,-11.2,-5.6,-8.4,-2.8
1,9,-29.5,-14.75,-22.125,-7.375
1,10,-9,-4.5,-6.75,-2.25
1,11,-3.5,-1.75,-2.625,-0.875
1,12,-6.1,-3.05,-4.575,-1.525
1,13,-13.5,-6.75,-10.125,-3.375
1,14,-14.9,-7.45,-11.175,-3.725
2,2,-21.7,-10.85,-16.275,-5.425
2,3,-2.4,-1.2,-1.8,-0.6
2,4,-7.6,-3.8,-5.7,-1.9
2,7,-22.8,-11.4,-17.1,-5.7
2,8,-30,-15,-22.5,-7.5
2,10,-5.8,-2.9,-4.35,-1.45
2,12,-11.2,-5.6,-8.4,-2.8
2,14,-6.2,-3.1,-4.65,-1.55
2,15,-8.2,-4.1,-6.15,-2.05
2,16,-3.5,-1.75,-2.625,-0.875
2,17,-9,-4.5,-6.75,-2.25
2,18,-3.2,-1.6,-2.4,-0.8
2,19,-9.5,-4.75,-7.125,-2.375
2,20,-2.2,-1.1,-1.65,-0.55
2,21,-17.5,-8.75,-13.125,-4.375
2,23,-3.2,-1.6,-2.4,-0.8
2,24,-8.7,-4.35,-6.525,-2.175
2,26,-3.5,-1.75,-2.625,-0.875
2,29,-2.4,-1.2,-1.8,-0.6
2,30,-10.6,-5.3,-7.95,-2.65
3,2,-20,-10,-15,-5
3,3,-45,-22.5,-33.75,-11.25
3,4,-40,-20,-30,-10
3,5,-60,-30,-45,-15
