zoneNum,tNodeID1,tNodeID2,reacT,ptMax
1,1,2,0.05917,100
1,1,5,0.22304,100
1,2,3,0.19797,100
1,2,4,0.17632,100
1,2,5,0.17388,100
1,3,4,0.17103,100
1,4,5,0.04211,100
1,4,7,0.20912,100
1,4,9,0.55618,100
1,5,6,0.25202,100
1,6,11,0.1989,100
1,6,12,0.25581,100
1,6,13,0.13027,100
1,7,8,0.17615,100
1,7,9,0.11001,100
1,9,10,0.0845,100
1,9,14,0.27038,100
1,10,11,0.19207,100
1,12,13,0.19988,100
1,13,14,0.34802,100
2,1,2,0.0575,100
2,1,3,0.1652,100
2,2,4,0.1737,100
2,2,5,0.1983,100
2,2,6,0.1763,100
2,3,4,0.0379,100
2,4,6,0.0414,100
2,4,12,0.256,100
2,5,7,0.116,100
2,6,7,0.082,100
2,6,8,0.042,100
2,6,9,0.208,100
2,6,10,0.556,100
2,6,28,0.0599,100
2,8,28,0.2,100
2,9,10,0.11,100
2,9,11,0.208,100
2,10,17,0.0845,100
2,10,20,0.209,100
2,10,21,0.0749,100
2,10,22,0.1499,100
2,12,13,0.14,100
2,12,14,0.2559,100
2,12,15,0.1304,100
2,12,16,0.1987,100
2,14,15,0.1997,100
2,15,18,0.2185,100
2,15,23,0.202,100
2,16,17,0.1923,100
2,18,19,0.1292,100
2,19,20,0.068,100
2,21,22,0.0236,100
2,22,24,0.179,100
2,23,24,0.27,100
2,24,25,0.3292,100
2,25,26,0.38,100
2,25,27,0.2087,100
2,28,27,0.396,100
2,27,29,0.4153,100
2,27,30,0.6027,100
2,29,30,0.4533,100
3,1,2,0.06,100
3,1,3,0.24,100
3,2,3,0.18,100
3,2,4,0.18,100
3,2,5,0.12,100
3,3,4,0.03,100
3,4,5,0.24,100
